,Name,Abb,Region,Area,Division,Population,Income,Illiteracy,Life.Exp,Murder,HS.Grad,Frost,Area
Alabama,Alabama,AL,South,51609,East South Central,3615,3624,2.1,69.05,15.1,41.3,20,50708
Alaska,Alaska,AK,West,589757,Pacific,365,6315,1.5,69.31,11.3,66.7,152,566432
Arizona,Arizona,AZ,West,113909,Mountain,2212,4530,1.8,70.55,7.8,58.1,15,113417
Arkansas,Arkansas,AR,South,53104,West South Central,2110,3378,1.9,70.66,10.1,39.9,65,51945
California,California,CA,West,158693,Pacific,21198,5114,1.1,71.71,10.3,62.6,20,156361
Colorado,Colorado,CO,West,104247,Mountain,2541,4884,0.7,72.06,6.8,63.9,166,103766
Connecticut,Connecticut,CT,Northeast,5009,New England,3100,5348,1.1,72.48,3.1,56,139,4862
Delaware,Delaware,DE,South,2057,South Atlantic,579,4809,0.9,70.06,6.2,54.6,103,1982
Florida,Florida,FL,South,58560,South Atlantic,8277,4815,1.3,70.66,10.7,52.6,11,54090
Georgia,Georgia,GA,South,58876,South Atlantic,4931,4091,2,68.54,13.9,40.6,60,58073
Hawaii,Hawaii,HI,West,6450,Pacific,868,4963,1.9,73.6,6.2,61.9,0,6425
Idaho,Idaho,ID,West,83557,Mountain,813,4119,0.6,71.87,5.3,59.5,126,82677
Illinois,Illinois,IL,North Central,56400,East North Central,11197,5107,0.9,70.14,10.3,52.6,127,55748
Indiana,Indiana,IN,North Central,36291,East North Central,5313,4458,0.7,70.88,7.1,52.9,122,36097
Iowa,Iowa,IA,North Central,56290,West North Central,2861,4628,0.5,72.56,2.3,59,140,55941
Kansas,Kansas,KS,North Central,82264,West North Central,2280,4669,0.6,72.58,4.5,59.9,114,81787
Kentucky,Kentucky,KY,South,40395,East South Central,3387,3712,1.6,70.1,10.6,38.5,95,39650
Louisiana,Louisiana,LA,South,48523,West South Central,3806,3545,2.8,68.76,13.2,42.2,12,44930
Maine,Maine,ME,Northeast,33215,New England,1058,3694,0.7,70.39,2.7,54.7,161,30920
Maryland,Maryland,MD,South,10577,South Atlantic,4122,5299,0.9,70.22,8.5,52.3,101,9891
Massachusetts,Massachusetts,MA,Northeast,8257,New England,5814,4755,1.1,71.83,3.3,58.5,103,7826
Michigan,Michigan,MI,North Central,58216,East North Central,9111,4751,0.9,70.63,11.1,52.8,125,56817
Minnesota,Minnesota,MN,North Central,84068,West North Central,3921,4675,0.6,72.96,2.3,57.6,160,79289
Mississippi,Mississippi,MS,South,47716,East South Central,2341,3098,2.4,68.09,12.5,41,50,47296
Missouri,Missouri,MO,North Central,69686,West North Central,4767,4254,0.8,70.69,9.3,48.8,108,68995
Montana,Montana,MT,West,147138,Mountain,746,4347,0.6,70.56,5,59.2,155,145587
Nebraska,Nebraska,NE,North Central,77227,West North Central,1544,4508,0.6,72.6,2.9,59.3,139,76483
Nevada,Nevada,NV,West,110540,Mountain,590,5149,0.5,69.03,11.5,65.2,188,109889
New Hampshire,New Hampshire,NH,Northeast,9304,New England,812,4281,0.7,71.23,3.3,57.6,174,9027
New Jersey,New Jersey,NJ,Northeast,7836,Middle Atlantic,7333,5237,1.1,70.93,5.2,52.5,115,7521
New Mexico,New Mexico,NM,West,121666,Mountain,1144,3601,2.2,70.32,9.7,55.2,120,121412
New York,New York,NY,Northeast,49576,Middle Atlantic,18076,4903,1.4,70.55,10.9,52.7,82,47831
North Carolina,North Carolina,NC,South,52586,South Atlantic,5441,3875,1.8,69.21,11.1,38.5,80,48798
North Dakota,North Dakota,ND,North Central,70665,West North Central,637,5087,0.8,72.78,1.4,50.3,186,69273
Ohio,Ohio,OH,North Central,41222,East North Central,10735,4561,0.8,70.82,7.4,53.2,124,40975
Oklahoma,Oklahoma,OK,South,69919,West South Central,2715,3983,1.1,71.42,6.4,51.6,82,68782
Oregon,Oregon,OR,West,96981,Pacific,2284,4660,0.6,72.13,4.2,60,44,96184
Pennsylvania,Pennsylvania,PA,Northeast,45333,Middle Atlantic,11860,4449,1,70.43,6.1,50.2,126,44966
Rhode Island,Rhode Island,RI,Northeast,1214,New England,931,4558,1.3,71.9,2.4,46.4,127,1049
South Carolina,South Carolina,SC,South,31055,South Atlantic,2816,3635,2.3,67.96,11.6,37.8,65,30225
South Dakota,South Dakota,SD,North Central,77047,West North Central,681,4167,0.5,72.08,1.7,53.3,172,75955
Tennessee,Tennessee,TN,South,42244,East South Central,4173,3821,1.7,70.11,11,41.8,70,41328
Texas,Texas,TX,South,267339,West South Central,12237,4188,2.2,70.9,12.2,47.4,35,262134
Utah,Utah,UT,West,84916,Mountain,1203,4022,0.6,72.9,4.5,67.3,137,82096
Vermont,Vermont,VT,Northeast,9609,New England,472,3907,0.6,71.64,5.5,57.1,168,9267
Virginia,Virginia,VA,South,40815,South Atlantic,4981,4701,1.4,70.08,9.5,47.8,85,39780
Washington,Washington,WA,West,68192,Pacific,3559,4864,0.6,71.72,4.3,63.5,32,66570
West Virginia,West Virginia,WV,South,24181,South Atlantic,1799,3617,1.4,69.48,6.7,41.6,100,24070
Wisconsin,Wisconsin,WI,North Central,56154,East North Central,4589,4468,0.7,72.48,3,54.5,149,54464
Wyoming,Wyoming,WY,West,97914,Mountain,376,4566,0.6,70.29,6.9,62.9,173,97203
